i,controlada?,nome,razão social,cnpj,valor da empresa i pela Valor (vendas),valor da empresa i pela Economatica (vendas),valor indireto (das empresas em que i tem participação),valor total (valor da empresa i + valor indireto),indicador de poder da empresa i,fonte dos dados da empresa i,poder direto - controle,poder direto - parcial,poder indireto - controle,poder indireto - parcial,composição acionária direta,Estatal ou Privada?
81,"",Telemar Norte Leste S/A,Telemar Norte Leste S/A,'',-,-,9240.40,9240.40,0.00,Economatica associado,Coari Part (100.00%) Tele Nort Cl (99.57%),"","","","",
82,"",Unilever,,'',9067.30,-,-,9067.30,0.00,Valor,"","","","","",
83,sim,Amil,Amil,'36461242000120',-,9008.83,-,9008.83,0.00,Economatica,Medial Saude (98.01%),"","","","Jplspe Empreendimentos e Partic.Ltda (64.31%) Capital Research & Mngmt Co (5.06%) Genesis Asset Managers, Llp (5.06%) Administradores (1.79%) Edson de Godoy Bueno (1.65%) Dulce Pugliese de Godoy Bueno (1.35%) Acoes em Tesouraria (0.77%)",
84,"",Jplspe Empreendimentos e Partic.Ltda,Jplspe Empreendimentos e Partic.Ltda,'',-,-,9008.83,9008.83,0.00,Economatica associado,Amil (64.31%),"",Medial Saude (controlada por Amil),"Amil => {Medial Saude (98.01%, final=63.03%)}","",
85,sim,Sul America,Sul America,'29978814000187',-,8944.55,-,8944.55,0.00,Economatica,"",Sul Amer Nac (23.76%),"","Sul Amer Nac => {D F Vasconc (0.17%, final=0.04%)}",Sulasapar Participacoes S/A (60.04%) Ing Insurance International BV (12.91%) Isabelle Rose Marie de Segur Lamoignon (0.99%) Sophie Marie Antoinette de Segur (0.99%) Acoes em Tesouraria (0.97%) Christiane Claude de Larragoiti Lucas (0.70%) Chantal de Larragoiti Lucas (0.70%) Patrick Antonio Claude de Larragoiti Lucas (0.70%),
86,"",Sulasapar Participacoes S/A,Sulasapar Participacoes S/A,'',-,-,8944.55,8944.55,0.00,Economatica associado,Sul America (60.04%),"","","Sul America => {Sul Amer Nac => {D F Vasconc (0.17%, final=0.02%)}}","",
87,"",Votoran,,'',8698.40,-,-,8698.40,0.00,Valor,"","","","","",
88,"",Volkswagen Camin. e Ônibus,,'',8665.40,-,-,8665.40,0.00,Valor,"","","","","",
89,"",Vicunha Siderurgia S/A,Vicunha Siderurgia S/A,'',-,-,8589.93,8589.93,0.00,Economatica associado,"",CSN (47.86%),"","CSN => {Usiminas => {Cosipa (94.57%, final=5.31%)}, Panatlantica (9.57%, final=4.58%)}","",
90,"",Toyota,,'',8530.50,-,-,8530.50,0.00,Valor,"","","","","",
91,"",Renault,,'',7947.80,-,-,7947.80,0.00,Valor,"","","","","",
92,"",LDC Brasil,,'',7851.40,-,-,7851.40,0.00,Valor,"","","","","",
93,"",Endesa Brasil,Endesa Brasil,'',6579.30,-,1231.80,7811.10,0.00,Valor,"",Ampla Invest (46.89%) Ampla Energ (0.00%),"","","",
94,sim,Copel,,'76483817000120',7776.20,7776.16,-,7776.16,0.00,Economatica,"","","","",Estado do Parana (58.63%) Bndespar - BNDES Participacoes SA (26.41%),
95,"",Alesat,,'',7774.20,-,-,7774.20,0.00,Valor,"","","","","",
96,"",Fundo de Investimento em Participacoes Volluto,Fundo de Investimento em Participacoes Volluto,'',-,-,7631.27,7631.27,0.00,Economatica associado,Gol (100.00%),Providencia (17.46%),"","","",
97,sim,Gol,,'06164253000187',7539.30,7539.31,-,7539.31,0.00,Economatica,"","","","",Fundo de Investimento em Participacoes Volluto (100.00%) Constantino de Oliveira Junior (0.00%) Ricardo Constantino (0.00%) Joaquim Constantino Neto (0.00%) Henrique Constantino (0.00%),
98,"",Telefonica S.A,Telefonica S.A,'',-,-,7484.01,7484.01,0.00,Economatica associado,"",Telef Brasil (25.69%),"","","",
99,"",Whirlpool,,'59105999000186',7465.30,7465.33,-,7465.33,0.00,Economatica,"","","","",Whirlpool do Brasil Ltda (49.94%) Brasmotor (44.23%),
100,sim,LF Tel,,'02390206000109',-,7330.65,-,7330.65,0.00,Economatica,"","","","",Edsp75 Participacoes S.A. (100.00%),
101,"",Edsp75 Participacoes S.A.,Edsp75 Participacoes S.A.,'',-,-,7330.65,7330.65,0.00,Economatica associado,LF Tel (100.00%),"","","","",
102,"",Iberdrola Energia S.A.,Iberdrola Energia S.A.,'',-,-,7163.16,7163.16,0.00,Economatica associado,"",Neoenergia (39.00%) Afluente T (8.50%) Afluente (5.12%) Coelba (5.12%),"","Neoenergia => {Celpe (99.58%, final=38.84%), Afluente (89.77%, final=35.01%), Coelba (89.77%, final=35.01%), Afluente T (87.84%, final=34.26%), Cosern (85.41%, final=33.31%)}","",
103,"",Samarco,,'',7058.90,-,-,7058.90,0.00,Valor,"","","","","",
104,"",Light,Light,'03378521000175',6944.80,6944.78,11.28,6956.06,0.00,Economatica,"",Renova (29.73%),"","",Cemig (26.06%) Bndespar - BNDES Participacoes SA (13.51%) Rme Rio Minas Energia Part. S/A (13.03%) Luce Empreendimentos e Participacoes (Lepsa) (13.03%) Alliance Bernstein L.P. (5.11%),
105,"",PDG Realt,,'02950811000189',6877.40,6877.38,-,6877.38,0.00,Economatica,"","","","","T. Rowe Price Associates, Inc. (10.02%) Blackrock, Inc (7.03%) CSHG (5.04%) Acoes em Tesouraria (0.66%)",
106,"",Tereos Internacional 1,,'',6876.00,-,-,6876.00,0.00,Valor,"","","","","",
107,"",Caoa Veículos,,'',6798.50,-,-,6798.50,0.00,Valor,"","","","","",
108,"",Const. Andrade Gutierrez,,'',6697.90,-,-,6697.90,0.00,Valor,"","","","","",
109,sim,Net,Net,'00108786000165',6695.90,6695.89,-,6695.89,0.00,Economatica,Cma Part (54.84%),"","","",Gb Empreendimentos e Part. S/A (51.00%) Embratel Part (35.76%) Globo (10.36%) Embratel (2.25%),
110,"",Gb Empreendimentos e Part. S/A,Gb Empreendimentos e Part. S/A,'',-,-,6695.89,6695.89,0.00,Economatica associado,Net (51.00%),"",Cma Part (controlada por Net),"Net => {Cma Part (54.84%, final=27.97%)}","",
111,"",Aberdeen Asset Management Plc,Aberdeen Asset Management Plc,'',-,-,6631.25,6631.25,0.00,Economatica associado,"",Multiplan (15.43%) Lojas Renner (14.47%) Ultrapar (12.16%) Cremer (10.43%) Arezzo Co (5.03%) Iguatemi (5.02%) Vale (0.04%),"","Ultrapar => {Ipiranga Dis (100.00%, final=12.16%), Ipiranga Pet (100.00%, final=12.16%), Ipiranga Ref (100.00%, final=12.16%)}
Vale => {Caemi (100.00%, final=0.04%), Log-In (33.56%, final=0.01%)}","",
112,"",Peugeot Citroën,,'',6601.90,-,-,6601.90,0.00,Valor,"","","","","",
113,"",Magazine Luiza,,'',6419.40,-,-,6419.40,0.00,Valor,"","","","","",
114,sim,Magaz Luiza,,'47960950000121',-,6419.37,-,6419.37,0.00,Economatica,"","","","",Ltd Administracao e Participacoes S.A. (60.61%) Wagner Garcia Participacoes S.A. (4.51%) Luiza Trajano Donato (1.03%) Pelegrino Jose Donato (0.73%) Luiza Helena Trajano Inacio Rodrigues (0.64%) Onofre de Paula Trajano (0.29%) Franco Bittar Garcia (0.04%) Fabricio Bittar Garcia (0.04%) Flavia Bittar Garcia (0.04%) Administradores (0.02%),
115,"",Ltd Administracao e Participacoes S.A.,Ltd Administracao e Participacoes S.A.,'',-,-,6419.37,6419.37,0.00,Economatica associado,Magaz Luiza (60.61%),"","","","",
116,"",Controladora de Serv. Telec. S.A. de C.V,Controladora de Serv. Telec. S.A. de C.V,'',-,-,6354.59,6354.59,0.00,Economatica associado,"",Embratel Part (43.44%),"","Embratel Part => {Net => {Cma Part (54.84%, final=8.52%)}}","",
117,"",VBC Energia,VBC Energia,'00095147000102',-,-,6350.60,6350.60,0.00,Economatica,"",CPFL Energia (25.55%) CCR SA (1.76%),"","CPFL Energia => {CPFL Piratininga (100.00%, final=25.55%), CPFL Geracao (100.00%, final=25.55%), Paul F Luz (100.00%, final=25.55%), Rio Gde Ener (100.00%, final=25.55%)}",Atila Holdings S.A. (44.93%) Camargo Correa Energia S.A. (28.09%) Camargo Correa S/A (19.73%) Camargo Correa Invest. em Infra Estrutur (7.25%),
118,"",Cyrela Realty,,'73178600000118',6126.80,6126.78,-,6126.78,0.00,Economatica,"","","","","Elie Horn (23.86%) Grupo Tarpon (10.33%) Carmignac Inv Bco Santander S.A. (8.04%) Blackrock, Inc (5.45%) Eirenor S/A (5.33%) Acoes em Tesouraria (3.00%) Eh Capital Management (1.82%) Rogerio Jonas Zylbersztajn (1.53%) Fernando Goldsztein (0.80%) Ricardo Sessegolo (0.17%)",
119,"",Itaipu Binacional,,'',6114.80,-,-,6114.80,0.00,Valor,"","","","","",
120,"",Basf,,'',5947.60,-,-,5947.60,0.00,Valor,"","","","","",
121,"",Fibria,Fibria,'60643228000121',5854.30,5854.30,-,5854.30,0.00,Economatica,"",Aracruz (16.95%),"","",Bndespar - BNDES Participacoes SA (30.44%) Votorantim Investimentos Industriais S.A (29.44%) Gavea Investimentos Ltda. (5.01%) Acoes em Tesouraria (0.06%),
122,"",Agc Energia SA,Agc Energia SA,'',-,-,5810.64,5810.64,0.00,Economatica associado,"",Cemig (32.96%),"","Cemig => {Light => {Renova (29.73%, final=2.55%)}}","",
123,sim,Paul F Luz,,'33050196000188',-,5594.93,-,5594.93,0.00,Economatica,"","","","",CPFL Energia (100.00%),
124,"",Natura,,'71673990000177',5591.40,5591.37,-,5591.37,0.00,Economatica,"","","","",Lisis Participacoes S/A (22.41%) Utopia Participacoes S/A (21.38%) Passos Participacoes S/A (5.28%) Anp Participacoes S/A (5.27%) Rm Futura Participacoes S/A (3.72%) Antonio Luiz da Cunha Seabra (0.85%) Guilherme Peirao Leal (0.81%) Acoes em Tesouraria (0.52%) Pedro Luiz Barreiros Passos (0.20%) Anizio Pinotti (0.20%),
125,"",Coamo,,'',5550.50,-,-,5550.50,0.00,Valor,"","","","","",
126,sim,Souza Cruz,,'33009911000139',5550.20,5550.18,-,5550.18,0.00,Economatica,"","","","",British American Tobacco International (Holdings) BV (75.26%),
127,"",British American Tobacco International (Holdings) BV,British American Tobacco International (Holdings) BV,'',-,-,5550.18,5550.18,0.00,Economatica associado,Souza Cruz (75.26%),"","","","",
128,"",Banco J. P. Morgan S.A.,Banco J. P. Morgan S.A.,'',-,-,5442.55,5442.55,0.00,Economatica associado,"",Gerdau Met (7.69%),"","Gerdau Met => {Gerdau (76.84%, final=5.91%)}","",
129,"",Energias de Portugal Investments And Services Sociedad Ltda,Energias de Portugal Investments And Services Sociedad Ltda,'',-,-,5401.66,5401.66,0.00,Economatica associado,Energias BR (106.09%),"","","","",
130,sim,Energias BR,,'03983431000103',-,5401.66,-,5401.66,0.00,Economatica,"","","","",Energias de Portugal Investments And Services Sociedad Ltda (106.09%) Balwerk-Cons. Econ. e Part. Soc. Ltda. (47.18%) Acoes em Tesouraria (0.53%) Administradores (0.00%),
131,"",GBarbosa,,'',5368.70,-,-,5368.70,0.00,Valor,"","","","","",
132,"",Samuel Klein,Samuel Klein,'',-,-,5284.65,5284.65,0.00,Economatica associado,"",Viavarejo (25.14%),"","","",
133,sim,WEG,,'84429695000111',5189.40,5189.41,-,5189.41,0.00,Economatica,"","","","",Weg Participacoes e Servicos S.A. (51.06%) Clica Voigt Administradora Ltda (1.64%) Si Voigt Administradora Ltda (1.64%) Voigt Schwartz Administradora Ltda (1.61%) Dabliuve Administradora Ltda (1.03%) Eggon Joao da Silva Administradora Ltda. (1.00%) Zocalo Participacoes Ltda (0.97%) Balder Participacoes Ltda (0.96%) Helana Participacoes Ltda (0.96%) Starp Participacoes Ltda (0.93%),
134,"",Weg Participacoes e Servicos S.A.,Weg Participacoes e Servicos S.A.,'',-,-,5189.41,5189.41,0.00,Economatica associado,WEG (51.06%),"","","","",
135,"",CCR,,'',5134.30,-,-,5134.30,0.00,Valor,"","","","","",
136,"",CCR SA,,'02846056000197',-,5134.30,-,5134.30,0.00,Economatica,"","","","","Andrade Gutierrez Concessoes S.A. (16.61%) Camargo Correa Invest. em Infra Estrutur (15.24%) Soares Penido Concessoes S.A. (11.93%) Soares Penido Obras, Const. e Inv. Ltda. (5.29%) VBC Energia (1.76%) Agc Participacoes Ltda. (0.39%)",
137,"",Itausa,,'61532644000115',-,5094.00,-,5094.00,0.00,Economatica,"","","","",Petros - Fund. Petrobras de Seg. Social (13.80%) Ana Lucia de Mattos Barretto Villela (11.84%) Alfredo Egydio Arruda Villela Filho (11.84%) Fundacao Itau Social (11.29%) Rudric Ith S/A (7.73%) Paulo Setubal Neto (3.78%) Olavo Egydio Setubal Júnior (3.35%) Roberto Egydio Setubal (3.33%) Alfredo Egydio Setubal (3.32%) Ricardo Egydio Setubal (3.32%),
138,sim,Tereos,,'11566501000156',-,5072.00,-,5072.00,0.00,Economatica,"","","","",Tereos Agro-Industrie (52.65%) Tereos Participations (13.23%) Tereos do Brasil Participacoes Ltda (3.75%),
139,"",Tereos Agro-Industrie,Tereos Agro-Industrie,'',-,-,5072.00,5072.00,0.00,Economatica associado,Tereos (52.65%),"","","","",
140,"",CNH,,'',5033.90,-,-,5033.90,0.00,Valor,"","","","","",
141,sim,Coelba,,'15139629000194',-,4967.36,-,4967.36,0.00,Economatica,"","","","",Neoenergia (89.77%) Iberdrola Energia S.A. (5.12%) Previ Cx Prev Funcs Bco Brasil (3.04%),
142,"",Suzano Papel e Celulose,,'',4848.00,-,-,4848.00,0.00,Valor,"","","","","",
143,sim,Suzano Papel,,'16404287000155',-,4847.99,-,4847.99,0.00,Economatica,"","","","",Suzano Hold (97.25%) Outros Integrantes do Controle (2.75%) Acoes em Tesouraria (1.86%) David Feffer (0.00%) Daniel Feffer (0.00%) Ruben Feffer (0.00%) Jorge Feffer (0.00%),
144,sim,La Fonte Tel,La Fonte Tel,'53790218000153',-,4793.33,3.01,4796.34,0.00,Economatica,"",Iguatemi (0.91%),"","",Jereissati (80.10%) Previ Cx Prev Funcs Bco Brasil (19.85%),
145,"",Camargo Correa S/A,Camargo Correa S/A,'',-,-,4774.89,4774.89,0.00,Economatica associado,Alpargatas (66.99%) CC Des Imob (66.14%),VBC Energia (19.73%),"","VBC Energia => {CPFL Energia => {CPFL Piratininga (100.00%, final=5.04%), CPFL Geracao (100.00%, final=5.04%), Paul F Luz (100.00%, final=5.04%), Rio Gde Ener (100.00%, final=5.04%)}, CCR SA (1.76%, final=0.35%)}","",
146,sim,Fer Heringer,,'22266175000188',-,4704.01,-,4704.01,0.00,Economatica,"","","","",Dalton Dias Heringer (51.55%) Dalton Carlos Heringer (8.14%) Juliana Heringer Resende (8.07%),
147,"",Dalton Dias Heringer,Dalton Dias Heringer,'',-,-,4704.01,4704.01,0.00,Economatica associado,Fer Heringer (51.55%),"","","","",
148,"",Heringer,,'',4704.00,-,-,4704.00,0.00,Valor,"","","","","",
149,"",Randon,Randon,'',4156.40,-,545.59,4701.98,0.00,Valor,Fras-Le (53.14%),"","","","",
150,"",Fund Antonio e Helena Zerrenner Inb,Fund Antonio e Helena Zerrenner Inb,'',-,-,4645.80,4645.80,0.00,Economatica associado,"",AmBev (17.13%),"","AmBev => {Antarctica Paulista (88.09%, final=15.09%), Polar (18.60%, final=3.19%)}","",
151,"",OAS Engenharia,,'',4637.50,-,-,4637.50,0.00,Valor,"","","","","",
152,"",Michael Klein,Michael Klein,'',-,-,4593.20,4593.20,0.00,Economatica associado,"",Viavarejo (21.85%),"","","",
153,"",Iveco Latin America,,'',4547.90,-,-,4547.90,0.00,Valor,"","","","","",
154,"",Telefonica Internacional S/A,Telefonica Internacional S/A,'',-,-,4496.07,4496.07,0.00,Economatica associado,"",Telef Brasil (15.44%),"","","",
155,"",Petros - Fund. Petrobras de Seg. Social,Petros - Fund. Petrobras de Seg. Social,'',-,-,4484.60,4484.60,0.00,Economatica associado,"",Itausa (13.80%) Log-In (13.71%) Fras-Le (12.81%) Lupatech (11.87%) Paranapanema (11.81%) Iguatemi (10.36%) BRF Foods (10.16%) Totvs (10.06%) Dasa (10.04%) Inds Romi (9.69%) Oi (0.04%),"","BRF Foods => {Sadia S/A. (10.27%, final=1.04%)}
Totvs => {Datasul (100.00%, final=10.06%)}
Oi => {Telemar N L (100.00%, final=0.04%)}","",
156,"",Camargo Corrêa,,'',4427.90,-,-,4427.90,0.00,Valor,"","","","","",
157,"",Tractebel Energia,,'',4327.00,-,-,4327.00,0.00,Valor,"","","","","",
158,sim,Tractebel,,'02474103000119',-,4326.95,-,4326.95,0.00,Economatica,"","","","",Gdf Suez Energy Latin America Part. Ltda (68.71%) Banco Classico S/A (10.00%),
159,"",Gdf Suez Energy Latin America Part. Ltda,Gdf Suez Energy Latin America Part. Ltda,'',-,-,4326.95,4326.95,0.00,Economatica associado,Tractebel (68.71%),"","","","",
160,"",André Maggi,,'',4300.30,-,-,4300.30,0.00,Valor,"","","","","",
161,"",Bayer,,'',4292.50,-,-,4292.50,0.00,Valor,"","","","","",
162,"",Mitsubishi Motors,,'',4289.90,-,-,4289.90,0.00,Valor,"","","","","",
163,"",Dramd Particip e Administr Ltda,Dramd Particip e Administr Ltda,'',-,-,4241.58,4241.58,0.00,Economatica associado,Rasip Agro (88.17%) Randon Part (78.59%),"","","","",
164,sim,B2W Varejo,,'00776574000156',-,4232.14,-,4232.14,0.00,Economatica,"","","","",Lojas Americanas (57.66%) Massachusetts Mutual Life Insurance Company (8.21%),
165,"",Cielo,,'01027058000191',4208.70,4208.73,-,4208.73,0.00,Economatica,"","","","",BB Banco de Investimento S/A (34.47%) Columbus Holdings S.A. (34.47%) Lazard Asset Management Llc (11.99%) Acoes em Tesouraria (0.26%),
166,"",Bosch,,'',4202.40,-,-,4202.40,0.00,Valor,"","","","","",
167,sim,Celesc,,'83878892000155',4191.40,4191.41,-,4191.41,0.00,Economatica,"","","","",Sec de Est da Faz de Santa Catarina (50.18%) Previ Cx Prev Funcs Bco Brasil (33.11%) Fundacao Celesc Seguridade Social-C (7.00%) Geracao Futuro Corretora de Valores S/A (3.22%) Eletrobras (0.03%),
168,"",Sec de Est da Faz de Santa Catarina,Sec de Est da Faz de Santa Catarina,'',-,-,4191.41,4191.41,0.00,Economatica associado,Celesc (50.18%),"","","","",
169,"",Coca-Cola Femsa,,'',4168.00,-,-,4168.00,0.00,Valor,"","","","","",
170,sim,Randon Part,,'89086144000116',-,4156.40,-,4156.40,0.00,Economatica,"","","","","Dramd Particip e Administr Ltda (78.59%) Previ Cx Prev Funcs Bco Brasil (10.07%) CSHG Verde Master FI Mult (5.07%) Green Fund, Llc (1.62%) CSHG Verde Equity Master FIA (1.55%) CSHG Dividendos FIC FIA (0.20%) Green II Fund Llc (0.11%) CSHG Val Divid Fundo Inv Acoes (0.04%)",
171,"",Comgás,,'',4102.70,-,-,4102.70,0.00,Valor,"","","","","",
172,sim,Comgas,,'61856571000117',-,4102.66,-,4102.66,0.00,Economatica,"","","","",Integral Investments BV (87.87%) Shell Brazil Holding B V (8.09%) Mcap Poland Fundo de Investimento em Acoes (1.14%),
173,"",Integral Investments BV,Integral Investments BV,'',-,-,4102.66,4102.66,0.00,Economatica associado,Comgas (87.87%),"","","","",
174,"",Paranapanema,,'60398369000126',4098.40,4098.36,-,4098.36,0.00,Economatica,"","","","",Previ Cx Prev Funcs Bco Brasil (23.96%) Bndespar - BNDES Participacoes SA (17.23%) Petros - Fund. Petrobras de Seg. Social (11.81%) Ewz Investments Llc - Socopa Soc.Corret. (8.42%) Acoes em Tesouraria (0.01%),
175,"",Mrv,,'08343492000120',4015.10,4015.06,-,4015.06,0.00,Economatica,"","","","","Rubens Menin Teixeira de Souza (33.34%) Blackrock, Inc (5.12%) Janus Capital Management Llc (5.10%) Acoes em Tesouraria (1.11%)",
176,"",Siemens,,'',3983.30,-,-,3983.30,0.00,Valor,"","","","","",
177,sim,Minerva,,'67620377000114',3977.00,3976.98,-,3976.98,0.00,Economatica,"","","","",Vdq Holdings S/A (61.88%) Acoes em Tesouraria (1.58%),
178,"",Vdq Holdings S/A,Vdq Holdings S/A,'',-,-,3976.98,3976.98,0.00,Economatica associado,Minerva (61.88%),"","","","",
179,"",Equatorial Energia,Equatorial Energia S/A,'',1980.50,-,1912.11,3892.61,0.00,Valor,Cemar (65.16%),"","","","",
180,sim,Klabin,,'89637490000145',4159.70,3889.15,-,3889.15,0.00,Economatica,"","","","",Klabin Irmaos & Cia (51.70%) Monteiro Aranha S.A. (20.03%) Niblak Participacoes S.A. (7.80%),
181,"",Klabin Irmaos & Cia,Klabin Irmaos & Cia,'',-,-,3889.15,3889.15,0.00,Economatica associado,Klabin (51.70%),"","","","",
182,"",Parth Investiments Company,Parth Investiments Company,'',-,-,3888.27,3888.27,0.00,Economatica associado,"",Ultrapar (7.99%),"","Ultrapar => {Ipiranga Dis (100.00%, final=7.99%), Ipiranga Pet (100.00%, final=7.99%), Ipiranga Ref (100.00%, final=7.99%)}","",
183,"",Fertipar,,'',3881.00,-,-,3881.00,0.00,Valor,"","","","","",
184,"",Chilectra Inversud S.A,Chilectra Inversud S.A,'',-,-,3864.67,3864.67,0.00,Economatica associado,Ampla Energ (21022.41%),Ampla Invest (21.02%),"","","",
185,"",Casas Pernambucanas,,'',3858.30,-,-,3858.30,0.00,Valor,"","","","","",
186,"",Syngenta,,'',3742.90,-,-,3742.90,0.00,Valor,"","","","","",
187,"",Brookfield Incorporações,,'',3727.30,-,-,3727.30,0.00,Valor,"","","","","",
188,"",Brookfield,,'07700557000184',-,3727.27,-,3727.27,0.00,Economatica,"","","","",Brookfield Brasil Ltda (43.20%) Administradores (6.62%) Alliance Bernstein L.P. (5.51%) Walter Francisco Lafemina (2.31%) Marcelo Martins Borba (1.36%) Antonio Fernando de Oliveira Maia (1.36%) Gilberto Bernardo Benevides (1.34%) Acoes em Tesouraria (1.16%) Luiz Rogelio Rodrigues Tolosa (0.86%) Elias Calil Jorge (0.73%),
189,"",Enersis S.A,Enersis S.A,'',-,-,3671.77,3671.77,0.00,Economatica associado,Ampla Energ (13679.79%),Ampla Invest (13.68%),"","","",
190,"",Panpharma,,'',3613.60,-,-,3613.60,0.00,Valor,"","","","","",
191,"",Chilectra S/A,Chilectra S/A,'',-,-,3584.15,3584.15,0.00,Economatica associado,Ampla Energ (10344.61%),Ampla Invest (10.34%),"","","",
192,"",BB Banco de Investimento S/A,BB Banco de Investimento S/A,'',-,-,3574.37,3574.37,0.00,Economatica associado,"",Cielo (34.47%) Neoenergia (11.99%) Kepler Weber (0.35%),"","Neoenergia => {Celpe (99.58%, final=11.94%), Afluente (89.77%, final=10.76%), Coelba (89.77%, final=10.76%), Afluente T (87.84%, final=10.53%), Cosern (85.41%, final=10.24%)}","",
193,"",Iberdrola Brasil S.A.,Iberdrola Brasil S.A.,'',-,-,3564.09,3564.09,0.00,Economatica associado,Elektro (99.97%),"","","","",
194,sim,Elektro,,'02328280000197',3564.10,3564.09,-,3564.09,0.00,Economatica,"","","","",Iberdrola Brasil S.A. (99.97%),
195,"",Infraero,,'',3531.20,-,-,3531.20,0.00,Valor,"","","","","",
196,"",Aurora,,'',3517.20,-,-,3517.20,0.00,Valor,"","","","","",
197,"",Endesa Latinoamerica S.A.,Endesa Latinoamerica S.A.,'',-,-,3514.76,3514.76,0.00,Economatica associado,Ampla Energ (7703.90%),Ampla Invest (7.70%),"","","",
198,"",AGCO,,'',3487.00,-,-,3487.00,0.00,Valor,"","","","","",
199,"",LDC-SEV 1,,'',3402.90,-,-,3402.90,0.00,Valor,"","","","","",
200,"",Queiroz Galvão,Queiroz Galvão,'',3082.40,-,289.01,3371.41,0.00,Valor,Qgep Part (63.00%),"","","","",
201,"",Itausa Invest Itau S.A.,Itausa Invest Itau S.A.,'',-,-,3370.64,3370.64,0.00,Economatica associado,Elekeiroz (98.24%) Itautec (94.01%),ItauUnibanco (38.66%) Duratex (35.40%),"","","",
202,"",Marcopolo,,'88611835000129',3368.90,3368.88,-,3368.88,0.00,Economatica,"","","","",Paulo Pedro Bellini (43.73%) Fundacao Bco.Central Prev.Priv. -Centrus (15.20%) Valter Antonio Gomes Pinto (9.38%) Davos Participacoes Ltda. (9.37%) Vate - Participacoes e Administracao Ltd (2.95%) Norges Bank - HSBC Ctvm S.A. (0.67%) Jose Antonio Fernades Martins (0.27%),
203,"",Brazil Trading,,'',3363.60,-,-,3363.60,0.00,Valor,"","","","","",
